experiment,scenario,strategy,variant,param,value,n_seeds,asr_final_mean,asr_post_mean_mean,false_retrieval_rate_mean,answer_flip_rate_mean,propagation_final_mean,propagation_peak_mean,exposure_final_mean,clean_accuracy_final_mean,clean_accuracy_mean_mean,clean_unknown_final_mean,target_accuracy_final_mean,fp_reject_rate_mean,fn_accept_rate_mean,fn_accept_injected_mean,recovery_rounds_mean,recovered_mean,context_tokens_per_query_mean,scored_per_query_mean,verifier_lookups_mean,messages_mean,asr_final_sd,asr_post_mean_sd,false_retrieval_rate_sd,answer_flip_rate_sd,propagation_final_sd,propagation_peak_sd,exposure_final_sd,clean_accuracy_final_sd,clean_accuracy_mean_sd,clean_unknown_final_sd,target_accuracy_final_sd,fp_reject_rate_sd,fn_accept_rate_sd,fn_accept_injected_sd,recovery_rounds_sd,recovered_sd,context_tokens_per_query_sd,scored_per_query_sd,verifier_lookups_sd,messages_sd
agreement,forged_meta,naive,honest3_faulty1,honest_sources,3,8,0.0208333,0.0398065,0.413691,0.030878,0.398809,0.398809,0.684524,0.986607,0.982887,0.0111607,0.979166,0,1,1,2.125,0.875,36.6986,3,0,212,0.023596,0.0413905,0.0755777,0.0372044,0.080239,0.080239,0.0802387,0.0265724,0.029409,0.0212095,0.0235961,0,0,0,2.94897,0.353553,0.400454,0,0,0
agreement,forged_meta,naive,honest3_faulty2,honest_sources,3,8,0.305556,0.236111,0.638455,0.213542,0.53125,0.53125,0.871528,0.989583,0.980903,0.0104166,0.694445,0,1,1,8,0,36.7289,3,0,184,0.118783,0.0687214,0.102457,0.0590716,0.11826,0.11826,0.0784797,0.0111357,0.0202464,0.0111359,0.118783,0,0,0,0,0,0.419066,0,0,0
agreement,forged_meta,naive,honest3_faulty3,honest_sources,3,8,0.495833,0.448438,0.831771,0.417708,0.7125,0.7125,0.983333,0.96875,0.964583,0.021875,0.504167,0,1,1,8,0,36.6963,3,0,156,0.130247,0.0964638,0.0448729,0.09193,0.120762,0.120762,0.0308608,0.0395285,0.0410067,0.0364434,0.130247,0,0,0,0,0,0.415065,0,0,0
agreement,forged_meta,provenance,honest1_faulty1,honest_sources,1,8,0.764881,0.59375,0.64881,0.557292,0.592262,0.592262,0.877976,0.991071,0.988839,0.00892856,0.226191,0,1,1,8,0,51.669,11.9625,0,212,0.0768228,0.0449395,0.0555657,0.0667159,0.0746849,0.0746849,0.0746849,0.0134986,0.0125009,0.0134987,0.0648937,0,0,0,0,0,0.322813,0.06155,0,0
agreement,forged_meta,provenance,honest1_faulty2,honest_sources,1,8,0.951389,0.817274,0.846354,0.788629,0.777778,0.777778,0.982639,0.973958,0.969618,0.0104166,0.0486111,0.000480769,1,1,8,0,51.6835,11.9896,0,184,0.0385758,0.0703057,0.0779676,0.066049,0.116912,0.116912,0.0391079,0.041293,0.0414906,0.0111359,0.0385758,0.00135982,0,0,0,0,0.356637,0.029451,0,0
agreement,forged_meta,provenance,honest1_faulty3,honest_sources,1,8,0.983333,0.925,0.939063,0.847917,0.854167,0.854167,0.995833,0.94375,0.929167,0.025,0.0166667,0.00525741,1,1,8,0,51.6936,11.975,0,156,0.0251977,0.0474552,0.038892,0.0891985,0.127164,0.127164,0.011785,0.0578638,0.0602573,0.0298807,0.0251976,0.00844855,0,0,0,0,0.387026,0.036645,0,0
agreement,forged_meta,provenance,honest2_faulty1,honest_sources,2,8,0.113095,0.129464,0.569941,0.113467,0.485119,0.485119,0.770833,0.991071,0.989583,0.00446428,0.880952,0,1,1,6.125,0.5,51.6922,11.9964,0,212,0.109294,0.0799388,0.0669856,0.0671825,0.0824173,0.0824173,0.0824171,0.0134986,0.0130215,0.00826623,0.114541,0,0,0,2.47487,0.534522,0.35005,0.0101116,0,0
agreement,forged_meta,provenance,honest2_faulty2,honest_sources,2,8,0.493056,0.448785,0.828559,0.373264,0.677083,0.677083,0.954861,0.992188,0.983507,0.0078125,0.506944,0.000558469,0.996951,1,8,0,51.69,11.9938,0,184,0.132595,0.0990604,0.0598231,0.0799365,0.0534058,0.0534058,0.0361796,0.0155006,0.0209775,0.0155005,0.132595,0.00103539,0.00862317,0,0,0,0.39701,0.012394,0,0
agreement,forged_meta,provenance,honest2_faulty3,honest_sources,2,8,0.658333,0.642708,0.938542,0.534896,0.725,0.725,0.983334,0.953125,0.935417,0.028125,0.341667,0,1,1,8,0,51.6804,12,0,156,0.142261,0.123216,0.0317909,0.0788035,0.072921,0.072921,0.0178172,0.0364434,0.0497514,0.0281498,0.142261,0,0,0,0,0,0.377267,0,0,0
agreement,forged_meta,provenance,honest3_faulty1,honest_sources,3,8,0.0476191,0.0777529,0.413691,0.0688244,0.398809,0.398809,0.684524,0.986607,0.981399,0.0111607,0.952381,0,1,1,4.25,0.75,51.6986,12,0,212,0.0359967,0.0436955,0.0755777,0.0369485,0.080239,0.080239,0.0802387,0.0265724,0.0285356,0.0212095,0.0359967,0,0,0,2.71241,0.46291,0.400454,0,0,0
